repo_name,local_build,sat_usage,ci_build_combined,ci_state,ci_usage,cr_reviews,cr_comments,cr_changed_files,cr_changed_lines,testing_coverage,cr_rate
alibaba/nacos,1.0,1,,,0,24.0,3.0,464.0,19256.0,11.13,0.6506024096385542
alluxio/alluxio,1.0,1,,,0,65.0,87.0,62.0,6651.0,,1.4169297849947375
anuken/mindustry,,0,1.0,1.0,1,4.0,14.0,22.0,39769.0,,0.009957504589001484
apache/cassandra,,1,,,0,,,,,,
apache/dolphinscheduler,1.0,1,1.0,0.0,1,38.0,30.0,254.0,17173.0,,1.0057648634484364
apache/druid,1.0,1,0.0,0.0,1,97.0,65.0,168.0,20769.0,65.19,1.3104145601617796
apache/dubbo,1.0,1,1.0,1.0,1,18.0,23.0,52.0,6403.0,,0.3329689208183664
apache/flink,1.0,1,,,0,73.0,72.0,97.0,2956.0,,4.758119079837619
apache/hadoop,1.0,1,,,0,149.0,174.0,78.0,3697.0,,6.814714633486611
apache/hbase,1.0,1,,,0,44.0,200.0,114.0,5779.0,,4.813289496452674
apache/kafka,1.0,1,0.0,0.0,1,108.0,34.0,124.0,6318.0,,2.786957898069009
apache/pulsar,1.0,1,,,0,144.0,69.0,165.0,100957.0,34.21,0.34811850589855087
apache/shardingsphere,1.0,1,1.0,1.0,1,49.0,21.0,189.0,6140.0,84.38,2.1547231270358305
apache/skywalking,0.0,1,1.0,1.0,1,68.0,67.0,383.0,4142.0,,12.483099951714149
apache/storm,0.0,1,0.0,0.0,1,112.0,8.0,260.0,4337.0,,7.193912842979018
apereo/cas,0.0,1,,,0,13.0,60.0,69.0,27564.0,,0.1827383543752721
arduino/arduino,,0,1.0,1.0,1,23.0,41.0,188.0,17206.0,,0.6992909450191793
bazelbuild/bazel,,0,0.0,0.0,1,14.0,48.0,338.0,19641.0,,1.0669517845323557
checkstyle/checkstyle,1.0,1,0.0,0.0,1,8.0,22.0,234.0,9438.0,,0.743801652892562
dbeaver/dbeaver,1.0,0,1.0,1.0,1,22.0,3.0,90.0,2396.0,,0.9390651085141902
dropwizard/dropwizard,1.0,0,1.0,0.0,1,45.0,24.0,152.0,9195.0,72.03,1.1406199021207177
eclipse/deeplearning4j,0.0,0,,,0,49.0,20.0,137.0,9044.0,,1.0452233524988943
elastic/elasticsearch,0.0,1,,,0,37.0,42.0,103.0,252289.0,,0.032252694330708036
eugenp/tutorials,,1,,,0,4.0,0.0,266.0,38850.0,,0.02738738738738739
google/exoplayer,,0,,,0,15.0,60.0,1611.0,3209295.0,,0.037648455501909296
google/guava,1.0,0,,,0,1.0,0.0,48.0,1084.0,,0.04428044280442805
grpc/grpc-java,,1,1.0,1.0,1,143.0,23.0,218.0,52128.0,,0.6942142418661755
jenkinsci/jenkins,1.0,1,1.0,1.0,1,63.0,42.0,41.0,2274.0,,1.8931398416886545
k9mail/k-9,,0,,,0,1.0,10.0,117.0,1862.0,,0.6911922663802363
keycloak/keycloak,0.0,0,1.0,0.0,1,63.0,33.0,410.0,3057.0,,12.875368007850835
libgdx/libgdx,,0,1.0,1.0,1,53.0,54.0,80.0,214765.0,,0.039857518683211884
minecraftforge/minecraftforge,0.0,0,,1.0,1,71.0,31.0,83.0,9576.0,,0.8840852130325815
neo4j/neo4j,1.0,1,,,0,,,,,,
netty/netty,0.0,1,,,0,70.0,27.0,203.0,3437.0,,5.729124236252546
openapitools/openapi-generator,,1,1.0,1.0,1,14.0,64.0,928.0,83435.0,,0.867549589500809
openjdk/jdk,,1,,,0,,,,,,
oracle/graal,,1,0.0,0.0,1,163.0,37.0,176.0,7264.0,,4.845814977973569
pentaho/pentaho-kettle,1.0,0,,,0,19.0,37.0,78.0,4813.0,,0.9075420735508
pinpoint-apm/pinpoint,0.0,1,1.0,0.0,1,1.0,13.0,732.0,10484.0,,0.9774895078214422
prestodb/presto,0.0,1,,,0,125.0,48.0,129.0,2913.0,,7.661174047373842
reactivex/rxjava,1.0,1,1.0,1.0,1,7.0,28.0,79.0,4526.0,,0.6109147149801148
realm/realm-java,,1,0.0,0.0,1,34.0,2.0,109.0,2943.0,,1.3333333333333333
seleniumhq/selenium,,1,1.0,0.0,1,20.0,33.0,64.0,229449.0,,0.01478324159181343
signalapp/signal-android,,0,1.0,1.0,1,,,,,,
spring-cloud/spring-cloud-netflix,1.0,1,1.0,0.0,1,18.0,35.0,121.0,2129.0,32.77,3.0122123062470645
spring-projects/spring-boot,1.0,1,1.0,1.0,1,,,,,,
spring-projects/spring-framework,0.0,1,0.0,0.0,1,0.0,24.0,23.0,108.0,,5.111111111111111
spring-projects/spring-security,0.0,1,1.0,0.0,1,46.0,35.0,115.0,4545.0,,2.0495049504950495
swagger-api/swagger-core,,0,1.0,1.0,1,2.0,0.0,196.0,987.0,,0.3971631205673759
teamnewpipe/newpipe,,1,1.0,1.0,1,45.0,91.0,57.0,1238.0,,6.261712439418417
